BirdID	Cohort	CaptureDate	CaptureTime	Year	Tarsus	Bill	Wing	Mass	Sex	Sex
4326	2000	18-Jun-03	16:30	2003	18.39999962	13	81	30.25	1	male
4326	2000	07-Mar-04	10:30	2004	18.89999962	13.19999981	80	28.20000076	1	male
4333	2000	03-Oct-00	NA	2000	18.89999962	NA	75	29.89999962	0	female
4333	2000	05-Oct-00	NA	2000	18.89999962	NA	75	27.60000038	0	female
4333	2000	11-Oct-01	NA	2001	18	NA	78	26.94999981	0	female
4430	2000	27-May-00	NA	2000	18.10000038	NA	76	28.10000038	0	female
4430	2000	04-Oct-00	NA	2000	18.29999924	NA	76	29.79999924	0	female
4432	2000	23-May-00	NA	2000	17.79999924	NA	80	30.39999962	1	male
4432	2000	26-Jun-00	NA	2000	17.5	NA	78	NA	1	male
4432	2000	03-Oct-00	NA	2000	18	NA	78	32.5	1	male
4441	2000	24-Mar-00	NA	2000	17.39999962	NA	74	29.39999962	0	female
4441	2000	27-May-00	NA	2000	17.89999962	NA	75	27.5	0	female
4442	2000	25-Mar-00	NA	2000	19.20000076	NA	74	27.5	0	female
4442	2000	28-May-00	NA	2000	17.89999962	NA	75	26.20000076	0	female
4443	2000	25-Mar-00	NA	2000	17.29999924	NA	73	27.60000038	0	female
4443	2000	05-Oct-00	NA	2000	17	NA	73	26.60000038	0	female
4443	2000	23-May-01	NA	2001	16.79999924	NA	75	25.39999962	0	female
4444	2000	27-Apr-00	NA	2000	19.10000038	NA	83	28	1	male
4445	2000	27-Apr-00	NA	2000	18.79999924	NA	79	30.39999962	0	female
4445	2000	02-Oct-00	NA	2000	19.5	NA	79	30.79999924	0	female
4446	2000	27-Apr-00	NA	2000	19.29999924	NA	79	27.89999962	1	male
4447	2000	27-Apr-00	NA	2000	18.29999924	NA	75	30.60000038	0	female
4447	2000	29-Jun-00	NA	2000	18.10000038	NA	75	27.79999924	0	female
4447	2000	02-Oct-00	NA	2000	18.79999924	NA	76	31.89999962	0	female
4447	2000	25-May-01	NA	2001	17.70000076	NA	77	27.10000038	0	female
4447	2000	31-May-03	12:00	2003	18.29999924	13.89999962	75	27.25	0	female
4448	2000	27-Apr-00	NA	2000	18.89999962	NA	78	29	1	male
4449	2000	27-Apr-00	NA	2000	19.79999924	NA	80	NA	1	male
4449	2000	26-May-00	NA	2000	20.79999924	NA	80	28.5	1	male
4450	2000	27-Apr-00	NA	2000	19.29999924	NA	83	29.79999924	1	male
4451	2000	27-Apr-00	NA	2000	17.60000038	NA	78	26.20000076	1	male
4452	2000	27-Apr-00	NA	2000	18.70000076	NA	78	29.60000038	1	male
4453	2000	27-Apr-00	NA	2000	18.70000076	NA	79	31.39999962	0	female
4454	2000	27-Apr-00	NA	2000	17.89999962	NA	76	27.10000038	0	female
4454	2000	02-Oct-00	NA	2000	18.39999962	NA	75	27.5	0	female
4455	2000	27-Apr-00	NA	2000	18.89999962	NA	78	30.39999962	1	male
4455	2000	30-Jun-00	NA	2000	18.70000076	NA	80	31.5	1	male
4455	2000	02-Oct-00	NA	2000	18.39999962	NA	78	30.79999924	1	male
4457	2000	27-Apr-00	NA	2000	18.89999962	NA	78	27	1	male
4458	2000	27-Apr-00	NA	2000	18.79999924	NA	81	28.20000076	1	male
4459	2000	27-Apr-00	NA	2000	18.29999924	NA	76	30	0	female
4460	2000	27-Apr-00	NA	2000	18.89999962	NA	79	27.10000038	1	male
4461	2000	27-Apr-00	NA	2000	18.79999924	NA	75	24.20000076	0	female
4462	2000	27-Apr-00	NA	2000	18.29999924	NA	76	28.60000038	0	female
4463	2000	27-Apr-00	NA	2000	19	NA	76	NA	1	male
4463	2000	25-Jul-00	NA	2000	19.5	NA	78	26.10000038	1	male
4463	2000	29-Jun-01	NA	2001	18.60000038	NA	78	26.5	1	male
4463	2000	26-May-02	NA	2002	19	NA	80	25.39999962	1	male
4463	2000	17-Oct-03	08:50	2003	19.20000076	NA	78	26.25	1	male
4463	2000	09-Mar-04	07:45	2004	19	13.80000019	79	25.20000076	1	male
4463	2000	27-May-04	06:50	2004	19.10000038	13	79	25.39999962	1	male
4463	2000	23-Nov-04	10:22	2004	19.10000038	13	80	25.60000038	1	male
4463	2000	25-Nov-04	15:25	2004	19	13.5	80	NA	1	male
4463	2000	17-Nov-05	13:10	2005	19.29999924	13.39999962	80	26.20000076	1	male
4464	2000	28-Apr-00	NA	2000	19.39999962	NA	80	29.70000076	1	male
4464	2000	27-Jul-00	NA	2000	20.20000076	NA	79	28.89999962	1	male
4464	2000	14-Apr-01	NA	2001	20.79999924	NA	80	28.10000038	1	male
4464	2000	15-May-02	NA	2002	19.70000076	NA	80	26.10000038	1	male
4465	2000	28-Apr-00	NA	2000	19.10000038	NA	76	30.10000038	0	female
4465	2000	03-Oct-00	NA	2000	18.60000038	NA	72	29.70000076	0	female
4465	2000	29-May-02	NA	2002	18.39999962	NA	75	25.89999962	0	female
4466	2000	28-Apr-00	NA	2000	19.29999924	NA	80	29	1	male
4467	2000	28-Apr-00	NA	2000	17.60000038	NA	79	27.29999924	1	male
