,rating,year,max_players,log.play.time,two.players,three.players,weight,mech.pca.1,mech.pca.2,mech.pca.3,log.owned,log.n.ratings
lord-rings-confrontation 2,7.50816,2005,2,1.47712125471966,3,0,2.1991,0.13550282646474,1.44245352384783,-0.025311223418434,3.7521253072979,3.66200187938992
forbidden-desert,7.27912,2013,5,1.65321251377534,2.05050505050505,2.33,2.0405,2.14301379183702,-1.22167691504422,-2.61884415869583,4.4198071051715,4.18435067404696
sentinels-multiverse,7.34753,2011,5,1.77815125038364,1.7621359223301,2.30622009569378,2.504,0.13550282646474,1.44245352384783,-0.025311223418434,4.2156904262532,4.05134549933654
glen-more,7.35946,2010,5,1.84509804001426,2.08759124087591,2.37704918032787,2.6737,0.876946898054709,-2.71736553485895,-1.48729543926612,3.86415495600203,3.85709115467351
london,7.41916,2010,4,1.95424250943932,1.98461538461538,2.72222222222222,2.8817,-1.5747977114558,0.987410991095382,-0.930517570255247,3.72566666031418,3.74264658993874
amun-re,7.36286,2003,5,1.95424250943932,1.00746268656716,1.49450549450549,3.0714,-0.478955648921935,-0.5275366384425,1.8938024379807,3.85901814388889,3.86213137931304
flash-point-fire-rescue,7.27262,2011,6,1.65321251377534,2.00625,2.25827814569536,2.206,2.82686836168231,0.274145960304665,-0.447374890888572,4.33689980935953,4.14823235964491
descent-journeys-dark,7.34469,2005,5,2.38021124171161,1.76020408163265,2.0049504950495,3.3387,3.94788259738999,-0.453920538935841,-1.47415530322422,4.09226436078835,4.01489838694621
pandemic-cure,7.41382,2014,5,1.47712125471966,2.13432835820896,2.67213114754098,2.063,0.308209598144434,1.73139202481343,-1.03182504988185,3.96885637461469,3.77070476821578
nippon,7.83021,2015,4,2.07918124604762,1.90625,2.24324324324324,3.7486,-0.478955648921935,-0.5275366384425,1.8938024379807,3.46508528755743,3.35774432518038
burgle-bros,7.67266,2015,4,1.95424250943932,2.4,2.57142857142857,2.2906,3.94788259738999,-0.453920538935841,-1.47415530322422,3.78547220330639,3.48358729696889
pathfinder-adventure-card-game-rise-runelords-base,7.34815,2013,4,1.95424250943932,2.24390243902439,2.52173913043478,2.7086,0.224985776603293,1.20222737539549,0.223840396036578,4.18295646905535,3.99100444033076
bruxelles-1893,7.65723,2013,5,2.09691001300806,1.84615384615385,2.43636363636364,3.5781,-0.075291353855226,-0.611536928911489,-1.19836971393095,3.54294984881418,3.470116353151
hanabi,7.20981,2010,5,1.39794000867204,1.80859375,2.31983805668016,1.6993,-1.57988302894968,0.434470999287104,-0.920848459435033,4.59619009748793,4.3887936723235
kingsburg,7.23981,2007,5,1.95424250943932,1.75879396984925,2.2579185520362,2.4318,0.603477898496189,0.331345954629121,0.982768664696519,4.17073096933786,4.18839407126143
catan,7.25819,1995,4,2.07918124604762,1.17564102564103,2.28063241106719,2.3586,1.34600001231097,0.47416087615498,-0.802940016299069,4.98997901400439,4.83911965372597
heroscape-master-set-rise-valkyrie,7.41972,2004,4,1.95424250943932,2.84615384615385,1.90243902439024,2.2895,3.04857775891221,-1.22249412592518,-1.29409119827331,4.03626949574282,3.84304581053457
sale,7.22255,1997,6,1.30102999566398,1.05263157894737,1.9027027027027,1.287,-0.763802012013039,0.673879936858499,0.15475288153248,4.27137687189407,4.20186121627726
tiny-epic-galaxies,7.40123,2015,5,1.47712125471966,2.21978021978022,2.70786516853933,2.1331,1.40913697817218,0.769384387083821,1.78282584753388,4.07682242334277,3.80787313200333
small-world-underground,7.36805,2011,5,1.95424250943932,1.88679245283019,2.24489795918367,2.5982,1.40913697817218,0.769384387083821,1.78282584753388,4.06344595312303,3.858897957232
secret-hitler,7.62522,2016,10,1.65321251377534,1,1,1.6806,-0.385309890120143,-0.197001483907866,0.91368115019242,3.79070728732768,3.61815273337852
amerigo,7.50562,2013,4,1.95424250943932,2.125,2.37931034482759,3,1.82525436208269,-3.73437053506504,-1.50756202513835,3.73973052856472,3.60357736815147
egizia,7.45918,2009,4,1.95424250943932,1.8,2.35643564356436,2.8291,-1.19630558956291,0.116529570329017,-0.171589301595306,3.55594043781851,3.64058080648965
vinhos,7.5377,2010,4,2.13033376849501,2.07894736842105,2.40298507462687,4.1995,-0.478955648921935,-0.5275366384425,1.8938024379807,3.61531865661148,3.56359972888153
star-wars-destiny,8.13927,2016,2,1.47712125471966,2.88235294117647,0,2.3333,1.12429061508107,1.97080096238482,0.043776291085665,3.53339070801755,3.27989498001164
innovation,7.25732,2010,4,1.77815125038364,2.64285714285714,2.24172185430464,2.7126,-0.763802012013039,0.673879936858499,0.15475288153248,4.15081781990167,4.04324435400848
archipelago,7.42365,2012,5,2.38021124171161,1.75581395348837,2.25882352941176,3.7161,0.407522978572566,-3.23913210828589,0.722638713284105,3.86231030995427,3.72032471741744
game-thrones-card-game-second-edition,7.89091,2015,4,2.07918124604762,2.90243902439024,1.85294117647059,3.4253,-0.675492872978022,1.75598457808472,-1.11058167520616,3.6667051361199,3.3727279408856
firefly-game,7.41491,2013,5,2.38021124171161,2.10743801652893,2.578125,2.9451,0.691787037531207,1.41345059585534,-0.282565892042121,4.11384311893749,3.8521749044203
thunderstone-advance-towers-ruin,7.50221,2012,5,1.95424250943932,2.4025974025974,2.64473684210526,2.7412,-1.5747977114558,0.987410991095382,-0.930517570255247,3.80767030123048,3.61341894503457
times-title-recall,7.78562,2008,18,1.77815125038364,1,1.10526315789474,1.1975,-0.385309890120143,-0.197001483907866,0.91368115019242,3.5165353738958,3.34399906905716
legends-andor,7.32908,2012,4,1.95424250943932,2.08661417322835,2.18548387096774,2.7557,1.50278273697397,1.09991954161846,0.802704559745605,4.13545069934551,3.90982336965091
hammer-scots,7.56881,2002,2,2.25527250510331,2.97560975609756,0,2.9846,0.224985776603293,1.20222737539549,0.223840396036578,3.63858908329272,3.53262700122889
shadows-brimstone-city-ancients,8.04473,2014,4,2.07918124604762,2.13636363636364,2.40816326530612,3.3655,3.94788259738999,-0.453920538935841,-1.47415530322422,3.659631011607,3.33465476688324
hero-realms,7.86766,2016,4,1.47712125471966,2.8695652173913,1.88235294117647,1.8929,-1.5747977114558,0.987410991095382,-0.930517570255247,3.71617034785985,3.34772021703404
commands-colors-napoleonics,7.97435,2010,2,1.95424250943932,2.87096774193548,0,2.7217,1.34600001231097,0.47416087615498,-0.802940016299069,3.53440689913788,3.26576091671761
airlines-europe,7.37536,2011,5,1.8750612633917,1.57142857142857,2.19607843137255,2.4398,-2.01238660649954,-0.122879367242378,-1.24719064256282,3.81331405894583,3.73862202791794
spartacus-game-blood-treachery,7.4789,2012,4,2.17609125905568,1.04838709677419,1.90277777777778,2.6826,2.44837623978941,1.14502738107103,-1.20630315954851,3.79657433321043,3.68565218411552
biblios,7.24653,2007,4,1.47712125471966,2.10994764397906,2.54314720812183,1.688,-2.39087872839244,0.748002053523988,-2.00611891122276,4.11869450789784,4.00915333190771
colt-express,7.2346,2014,6,1.60205999132796,1.14285714285714,1.76027397260274,1.8104,1.25651706217242,0.714387024607328,-1.05209163575408,4.25457224418735,4.09743085394424
labyrinth-war-terror-2001,7.59229,2010,2,2.25527250510331,2.86585365853659,0,3.5346,1.03064485627928,1.64026580785019,1.02389757887394,3.81338080673386,3.50893352605003
libertalia,7.26337,2012,6,1.65321251377534,1.43548387096774,2.0495867768595,2.2321,-1.57988302894968,0.434470999287104,-0.920848459435033,4.03988979773618,3.95913683117037
grizzled,7.35306,2015,5,1.47712125471966,1.36,2.04838709677419,1.9144,0.13550282646474,1.44245352384783,-0.025311223418434,4.03450813677917,3.78632543439007
taj-mahal,7.32968,2000,5,2,1.1038961038961,1.74757281553398,3.0081,-2.39087872839244,0.748002053523988,-2.00611891122276,3.83467497446274,3.79657433321043
zombicide,7.31588,2012,6,2.25527250510331,2.16993464052288,2.62111801242236,2.5853,2.24530485078875,1.24273446314431,-0.983004121249983,4.21303937125096,4.05411490051059
paperback,7.3931,2014,5,1.65321251377534,2.62962962962963,2.30612244897959,2,-1.19630558956291,0.116529570329017,-0.171589301595306,3.92495088891561,3.69240623483363
yokohama,8.01566,2016,4,1.95424250943932,2.09090909090909,2.78571428571429,3.3378,1.24370895335924,-1.99025050203356,-2.43878005374492,3.56169753265399,3.22297644989339
deus,7.39652,2014,4,1.95424250943932,2.16842105263158,2.4578313253012,2.8479,1.68129784840298,-0.879960143695797,-2.12210698143735,3.74059951281116,3.68106024363181
star-wars-x-wing-miniatures-game-force-awakens-cor,8.14857,2015,2,1.65321251377534,2.9,0,2.8056,1.50278273697397,1.09991954161846,0.802704559745605,3.70303330473369,3.17026171539496
san-juan-second-edition,7.65242,2014,4,1.77815125038364,2.4375,2.60714285714286,2.1053,-1.57988302894968,0.434470999287104,-0.920848459435033,3.65001595247184,3.41929472175346
game-thrones-first-edition,7.28926,2003,5,2.25527250510331,1.00909090909091,1.17985611510791,3.4462,0.13550282646474,1.44245352384783,-0.025311223418434,3.95085145888855,3.97183227992493
tales-arabian-nights,7.28054,2009,6,2.07918124604762,2.13513513513514,2.74111675126904,2.1701,1.50278273697397,1.09991954161846,0.802704559745605,4.11008442288692,3.94713951764283
lost-cities,7.1504,1999,2,1.47712125471966,2.91701244813278,0,1.5148,-1.57988302894968,0.434470999287104,-0.920848459435033,4.54560396848142,4.43429738512451
vikings,7.29313,2007,4,1.77815125038364,2.24260355029586,2.6319018404908,2.5379,-0.619845498333323,-2.18053045451075,0.769297837831475,3.81663894489846,3.83581735429347
